player_id,player_name,player_firstName,player_lastName,player_birthDate,player_birthCity,player_birthCity_Lat,player_birthCity_Long,player_birthCountry,player_birthStateProvince,player_nationality,player_height,player_weight,player_shootsCatches,player_primaryPositionCode
8460504,Ethan Moreau,Ethan,Moreau,1975-09-22,Huntsville,34.6988,-86.6412,CAN,ON,CAN,"6' 3""",223,L,L
8460509,Chris Dingman,Chris,Dingman,1976-07-06,Edmonton,53.5344,-113.49,CAN,AB,CAN,"6' 4""",244,L,L
8460510,Jason Botterill,Jason,Botterill,1976-05-19,Edmonton,53.5344,-113.49,CAN,AB,CAN,"6' 4""",217,L,L
8460513,Yan Golubovsky,Yan,Golubovsky,1976-03-09,Novosibirsk,55.0333,82.9167,RUS,,RUS,"6' 3""",205,R,D
8460515,Vadim Sharifijanov,Vadim,Sharifijanov,1975-12-23,Ufa,54.7333,55.9667,RUS,,RUS,"6' 0""",205,L,R
8460520,Stan Neckar,Stan,Neckar,1975-12-22,eské Budjovice,,,CZE,,CZE,"6' 1""",214,L,D
8460521,Deron Quint,Deron,Quint,1976-03-12,Durham,35.9794,-78.9031,USA,NH,USA,"6' 2""",192,L,D
8460526,Josef Marha,Josef,Marha,1976-06-02,Havlickuv Brod,49.6079,15.5807,CZE,,CZE,"6' 1""",191,L,C
8460540,Mathieu Dandenault,Mathieu,Dandenault,1976-02-03,Sherbrooke,45.4,-71.9,CAN,QC,CAN,"6' 0""",208,R,R
8460542,Patrik Elias,Patrik,Elias,1976-04-13,Trebic,49.215,15.8817,CZE,,CZE,"6' 1""",190,L,C
8460556,Freddy Modin,Freddy,Modin,1974-10-08,Sundsvall,62.4001,17.3167,SWE,,SWE,"6' 4""",220,L,L
8460561,Sheldon Souray,Sheldon,Souray,1976-07-13,Elk Point,,,CAN,AB,CAN,"6' 4""",231,L,D
8460562,Chris Drury,Chris,Drury,1976-08-20,Trumbull,41.2602,-73.2083,USA,CT,USA,"5' 10""",191,R,C
8460577,Milan Hejduk,Milan,Hejduk,1976-02-14,Usti,30.3004,-97.7522,CZE,,CZE,"6' 0""",190,R,R
8460580,Brad Lukowich,Brad,Lukowich,1976-08-12,Cranbrook,49.5097,-115.767,CAN,BC,CAN,"6' 1""",191,L,D
8460587,Jamie Wright,Jamie,Wright,1976-05-13,Kitchener,43.4186,-80.4728,CAN,ON,CAN,"6' 0""",194,L,L
8460639,Andre Roy,Andre,Roy,1975-02-08,Port Chester,41.0052,-73.668,USA,NY,USA,"6' 4""",229,L,R
8460661,Shane Hnidy,Shane,Hnidy,1975-11-08,Neepawa,,,CAN,MB,CAN,"6' 2""",204,R,D
8460663,Ladislav Kohn,Ladislav,Kohn,1975-03-04,Uherské Hradiste,49.0698,17.4597,CZE,,CZE,"5' 11""",200,L,R
8460689,Raymond Giroux,Raymond,Giroux,1976-07-20,North Bay,40.7601,-73.2618,CAN,ON,CAN,"6' 1""",190,L,D
8460692,Jason Elliott,Jason,Elliott,1975-11-10,Inuvik,,,CAN,NT,CAN,"6' 2""",183,L,G
8460696,Frederic Cassivi,Frederic,Cassivi,1975-06-12,Sorel,46.0333,-73.1167,CAN,QC,CAN,"6' 4""",220,L,G
8460703,Tim Thomas,Tim,Thomas,1974-04-15,Flint,43.0235,-83.6922,USA,MI,USA,"5' 11""",201,L,G
8460715,John Grahame,John,Grahame,1975-08-31,Denver,39.7621,-104.876,USA,CO,USA,"6' 3""",220,L,G
8460743,Tomas Holmstrom,Tomas,Holmstrom,1973-01-23,Pitea,,,SWE,,SWE,"6' 0""",200,L,L
8460770,Kim Johnsson,Kim,Johnsson,1976-03-16,Malmo,55.5932,13.0214,SWE,,SWE,"6' 1""",193,L,D
8462037,Steve Kelly,Steve,Kelly,1976-10-26,Vancouver,49.25,-123.1,CAN,BC,CAN,"6' 2""",210,L,C
8462044,Jean-Sebastien Giguere,Jean-Sebastien,Giguere,1977-05-16,Montréal,45.5089,-73.5617,CAN,QC,CAN,"6' 1""",202,L,G
8462056,Maxim Kuznetsov,Maxim,Kuznetsov,1977-03-24,Pavlodar,52.3156,76.9564,RUS,,RUS,"6' 5""",230,L,D
8462082,Brad Larsen,Brad,Larsen,1977-06-28,Nakusp,,,CAN,BC,CAN,"6' 0""",210,L,L
8462085,Shane Willis,Shane,Willis,1977-06-13,Edmonton,53.5344,-113.49,CAN,AB,CAN,"6' 1""",195,R,R
8462087,Darryl Laplante,Darryl,Laplante,1977-03-28,Calgary,51.05,-114.067,CAN,AB,CAN,"6' 0""",185,L,C
8462090,Petr Buzek,Petr,Buzek,1977-04-26,Jihlava,49.4003,15.5906,CZE,,CZE,"6' 1""",220,L,D
8462096,Sergey Gusev,Sergey,Gusev,1975-07-31,Nizhny Tagil,,,RUS,,RUS,"6' 1""",205,L,D
8462118,Marc Savard,Marc,Savard,1977-07-17,Ottawa,45.4247,-75.695,CAN,ON,CAN,"5' 10""",191,L,C
8462129,Michal Handzus,Michal,Handzus,1977-03-11,Banská Bystrica,48.7353,19.1453,SVK,,SVK,"6' 5""",215,L,C
8462176,Brent Sopel,Brent,Sopel,1977-01-07,Calgary,51.05,-114.067,CAN,AB,CAN,"6' 2""",205,R,D
8462600,Rob Shearer,Rob,Shearer,1976-10-19,Kitchener,43.4186,-80.4728,CAN,ON,CAN,"5' 10""",190,R,C
8463638,Bryan Muir,Bryan,Muir,1973-06-08,Winnipeg,49.8844,-97.1464,CAN,MB,CAN,"6' 3""",225,L,D
8464959,Ric Jackman,Ric,Jackman,1978-06-28,Toronto,43.7417,-79.3733,CAN,ON,CAN,"6' 2""",214,R,D
8464960,Boyd Devereaux,Boyd,Devereaux,1978-04-16,Seaforth,,,CAN,ON,CAN,"6' 2""",195,L,C
8464976,Jesse Wallin,Jesse,Wallin,1978-03-10,Saskatoon,52.1333,-106.683,CAN,SK,CAN,"6' 2""",203,L,D
8464981,Cory Sarich,Cory,Sarich,1978-08-16,Saskatoon,52.1333,-106.683,CAN,SK,CAN,"6' 4""",207,R,D
8464989,Matt Cullen,Matt,Cullen,1976-11-02,Virginia,36.7335,-76.0435,USA,MN,USA,"6' 1""",202,L,C
8464999,Mathieu Garon,Mathieu,Garon,1978-01-09,Chandler,33.2826,-111.852,CAN,QC,CAN,"6' 1""",198,R,G
