player_id,player_name,player_firstName,player_lastName,player_birthDate,player_birthCity,player_birthCountry,player_birthStateProvince,player_nationality,player_height,player_weight,player_shootsCatches,player_primaryPositionCode
8478434,Keegan Kolesar,Keegan,Kolesar,1997-04-08,Brandon,CAN,MB,CAN,"6' 2""",217,R,R
8478462,Nicolas Roy,Nicolas,Roy,1997-02-05,Amos,CAN,QC,CAN,"6' 4""",202,R,C
8478466,Daniel Sprong,Daniel,Sprong,1997-03-17,Amsterdam,NLD,N/A,NLD,"6' 0""",202,R,R
8478472,Mathieu Joseph,Mathieu,Joseph,1997-02-09,Laval,CAN,QC,CAN,"6' 1""",187,L,R
8478477,Mitchell Stephens,Mitchell,Stephens,1997-02-05,Peterborough,CAN,ON,CAN,"5' 11""",197,R,C
8478499,Adin Hill,Adin,Hill,1996-05-11,Comox,CAN,BC,CAN,"6' 4""",215,L,G
8478519,Anthony Cirelli,Anthony,Cirelli,1997-07-15,Etobicoke,CAN,ON,CAN,"6' 0""",189,L,C
8478866,Dominik Simon,Dominik,Simon,1994-08-08,Prague,CZE,N/A,CZE,"5' 11""",190,L,C
8478928,Sergei Plotnikov,Sergei,Plotnikov,1990-06-03,Komsomolsk,RUS,N/A,RUS,"6' 2""",202,L,L
8479353,Brett Howden,Brett,Howden,1998-03-29,Calgary,CAN,AB,CAN,"6' 2""",203,L,C
8479370,Tyson Jost,Tyson,Jost,1998-03-14,St. Albert,CAN,AB,CAN,"5' 11""",187,L,C
8479385,Jordan Kyrou,Jordan,Kyrou,1998-05-05,Toronto,CAN,ON,CAN,"6' 1""",196,R,C
8479398,Samuel Girard,Samuel,Girard,1998-05-12,Roberval,CAN,QC,CAN,"5' 10""",170,L,D
8479410,Mikhail Sergachev,Mikhail,Sergachev,1998-06-25,Nizhnekamsk,RUS,N/A,RUS,"6' 1""",217,L,D
8479439,Jacob MacDonald,Jacob,MacDonald,1993-02-26,Portland,USA,OR,USA,"6' 0""",204,L,D
8479482,Michal Kempny,Michal,Kempny,1990-09-08,Hodonin,CZE,N/A,CZE,"6' 1""",190,L,D
8479525,Ross Colton,Ross,Colton,1996-09-11,Robbinsville,USA,NJ,USA,"6' 0""",194,L,C
8479573,Mikhail Maltsev,Mikhail,Maltsev,1998-03-12,St. Petersburg,RUS,N/A,RUS,"6' 3""",198,L,L
8479718,Alex Barré-Boulet,Alex,Barré-Boulet,1997-05-21,Montmagny,CAN,QC,CAN,"5' 10""",180,L,C
8479980,Nicolas Hague,Nicolas,Hague,1998-12-05,Kitchener,CAN,ON,CAN,"6' 6""",230,L,D
8479984,Cal Foote,Cal,Foote,1998-12-13,Denver,USA,CO,USA,"6' 5""",224,R,D
8479991,Jake Leschyshyn,Jake,Leschyshyn,1999-03-10,Raleigh,USA,NC,USA,"5' 11""",195,L,C
8480007,Jonas Rondbjerg,Jonas,Rondbjerg,1999-03-31,Horsholm,DNK,N/A,DNK,"6' 2""",203,L,R
8480023,Robert Thomas,Robert,Thomas,1999-07-02,Aurora,CAN,ON,CAN,"6' 0""",218,R,C
8480069,Cale Makar,Cale,Makar,1998-10-30,Calgary,CAN,AB,CAN,"5' 11""",187,R,D
8480143,Jakub Jerabek,Jakub,Jerabek,1991-05-12,Pilsen,CZE,N/A,CZE,"5' 11""",199,L,D
8480158,Andreas Borgman,Andreas,Borgman,1995-06-18,Stockholm,SWE,N/A,SWE,"6' 0""",200,L,D
8480172,Jan Rutta,Jan,Rutta,1990-07-29,Pisek,CZE,N/A,CZE,"6' 3""",204,R,D
8480186,Alexander Volkov,Alexander,Volkov,1997-08-02,Moscow,RUS,N/A,RUS,"6' 1""",195,L,R
8480238,Jiri Patera,Jiri,Patera,1999-02-24,Praha,CZE,N/A,CZE,"6' 2""",209,L,G
8480313,Logan Thompson,Logan,Thompson,1997-02-25,Calgary,CAN,AB,CAN,"6' 4""",205,R,G
8480727,Zach Whitecloud,Zach,Whitecloud,1996-11-28,Brandon,CAN,MB,CAN,"6' 2""",207,R,D
8480748,Kiefer Sherwood,Kiefer,Sherwood,1995-03-31,Columbus,USA,OH,USA,"6' 0""",194,R,L
8480776,Sheldon Rempal,Sheldon,Rempal,1995-08-07,Calgary,CAN,AB,CAN,"5' 10""",165,R,R
8480822,Martin Kaut,Martin,Kaut,1999-10-02,Brno,CZE,N/A,CZE,"6' 2""",190,R,R
8480846,Sampo Ranta,Sampo,Ranta,2000-05-31,Naantali,FIN,N/A,FIN,"6' 2""",195,L,L
8480913,Jordan Gross,Jordan,Gross,1995-05-09,Maple Grove,USA,MN,USA,"5' 10""",190,R,D
8480925,Pavel Francouz,Pavel,Francouz,1990-06-03,Plzen,CZE,N/A,CZE,"6' 0""",179,R,G
8481020,Justus Annunen,Justus,Annunen,2000-03-11,Kempele,FIN,N/A,FIN,"6' 4""",210,L,G
8481032,Paul Cotter,Paul,Cotter,1999-11-16,Canton,USA,MI,USA,"6' 2""",212,L,C
